Name,id,Description
The Sad Onion,1,+0.7 tears .
The Inner Eye,2,Isaac shoots three tears at once with lower fire rate .
Spoon Bender,3,Grants Isaac homing tears .
Cricket's Head,4,"Increases Damage by 0.5, and increases damage multiplier by ×1.5."
My Reflection,5,"Gives Isaac's tears a boomerang effect. +1.5 range , +1 tear falling speed , x1.6 shot speed multiplier. 2x + 1.5 range , +1.5 damage , -1 luck , 1.6x shot speed multiplier."
Number One,6,"Grants +1.5 tears , but severely reduces range ."
Blood of the Martyr,7,+1 damage . Isaac shoots blood tears.
Brother Bobby,8,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage. He shoots more frequently than most familiars.
Skatole,9,Flies become harmless or less dangerous depending on the type.
Halo of Flies,10,Spawns two Pretty Flies that block enemy shots and deal contact damage to flies.
1up!,11,"Gives Isaac an extra life. Upon death, he will respawn in the previous room with full health, after which 1up! will disappear."
Magic Mushroom,12,"Makes Isaac bigger. Adds one Red Heart Container , +0.3 Damage , x1.5 damage multiplier, +5.25 Range , +0.3 Speed , and restores all Health. Makes Isaac bigger. Adds one Red Heart Container , +0.3 Damage , x1.5 damage multiplier, +2.5 Range , +0.3 Speed , and restores all Health."
The Virus,13,Isaac poisons enemies on contact. -0.1 speed . +0.2 speed . Poisoned enemies have a chance to drop a black heart when killed.
Roid Rage,14,"+0.6 speed , +5.25 range , +0.5 tear falling speed . +0.3 speed , +2.5 range"
<3,15,Grants Isaac one Red Heart container and fully restores Isaac's health .
Raw Liver,16,Grants 2 Red Heart containers and completely restores health .
Skeleton Key,17,Gives Isaac 99 Keys .
A Dollar,18,Gives Isaac 100 Pennies .
Boom!,19,Grants 10 Bombs .
Transcendence,20,Grants flight .
The Compass,21,"Reveals the locations and types of all special rooms on the map, except Secret Rooms and Super Secret Rooms ."
Lunch,22,Grants one full Red Heart container . Heals 1 additional Red Heart .
Dinner,23,Grants one full Red Heart container . Heals 1 additional Red Heart .
Dessert,24,Grants one full Red Heart container . Heals 1 additional Red Heart .
Breakfast,25,Grants one full Red Heart container . Heals 1 additional Red Heart .
Rotten Meat,26,Grants one full Red Heart container . Heals 1 additional Red Heart .
Wooden Spoon,27,+0.3 speed .
The Belt,28,+0.3 speed .
Mom's Underwear,29,"+5.25 range , +0.5 tear falling speed . +2.5 range . Spawns 3-6 Blue Flies on pickup."
Mom's Heels,30,"+5.25 range , +0.5 tear falling speed . +2.5 range , enemies that touch Isaac take 12 damage."
Mom's Lipstick,31,"+5.25 range , +0.5 tear falling speed . +3.75 range . Spawns a Heart on pickup."
Wire Coat Hanger,32,+0.7 tears .
Lucky Foot,46,"+1 luck . Improves Isaac's chances at various random events (independent from the luck stat). Converts all bad pills into good pills, without identifying them."
Cupid's Arrow,48,Grants Isaac piercing tears that travel through enemies (but not obstacles) instead of breaking on impact with them.
Steven,50,+1 damage .
Pentagram,51,"+1 damage , increases Devil Room / Angel Room chance by 10%."
Dr. Fetus,52,Tears are replaced by Bombs that benefit from bomb-enhancing effects and slide for a fixed time after being fired.
Magneto,53,Pulls pickups towards Isaac.
Treasure Map,54,Reveals the map of each floor . It does not identify special rooms and does not reveal the locations of Secret Rooms / Super Secret Rooms .
Mom's Eye,55,Gives Isaac a chance to fire tears from the back of his head.
Distant Admiration,57,"Spawns an attack fly that circles further out than Halo of Flies , but closer than Forever Alone , dealing 75 damage per second."
The Ladder,60,Allows Isaac to walk across gaps one square across by automatically placing a ladder between the two walkable sections.
Charm of the Vampire,62,Heals Isaac for a Half Red Heart for every 13 enemies killed. +0.3 damage .
The Battery,63,"Activated items can be overcharged, allowing them to store up to one extra use."
Steam Sale,64,"Reduces all Shop prices by 50%, rounded down to 7 coins for an item, rounded up to 2-3 coins for a pickup."
Sister Maggy,67,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage. Spawns a familiar that follows Isaac around shooting tears that deal 6 damage.
Technology,68,Replaces tears with a piercing laser with unlimited range.
Chocolate Milk,69,Grants charged tears that deal greater damage when fully charged.
Growth Hormones,70,"+1 damage , +0.4 speed . +1 damage , +0.2 speed ."
Mini Mush,71,"Decreases Isaac's size, making him less likely to be hit. +0.3 speed , +1.5 tear falling speed , -4.25 range (effective range is increased). +0.3 speed , +2.5 range ."
Rosary,72,Grants 3 Soul Hearts . Causes The Bible to appear in any item pool . +0.5 tears .
Cube of Meat,73,"Creates an orbital familiar . Collecting additional copies gives it the ability to shoot tears, then chase enemies to deal contact damage, then deal even more contact damage."
A Quarter,74,Gives Isaac 25 coins .
PHD,75,"Converts all bad pills into good pills, spawns one pill pickup, and identifies all pills. Restores two Red Hearts and increases the payout of Blood Donation Machines ."
X-Ray Vision,76,Reveals and opens all Secret Room and Super Secret Room entrances.
The Mark,79,"Grants one Soul Heart , +1 damage , and +0.2 speed . Grants one Black Heart , +1 damage , and +0.2 speed ."
The Pact,80,"Grants two Soul Hearts , +0.5 damage , and +0.7 tears . Grants two Black Hearts , +0.5 damage , and +0.7 tears ."
Dead Cat,81,"Sets Isaac's Red Heart Containers to 1, but grants 9 extra lives. After dying, Isaac respawns with 1 Red Heart Container."
Lord of the Pit,82,Grants flight and +0.3 speed .
Loki's Horns,87,Gives a random chance for projectiles to fire in all 4 cardinal directions.
Little Chubby,88,Spawns a Charger familiar that charges forward and deals contact damage to any enemies in its path.
Spider Bite,89,"Adds a chance to shoot slowing tears , reducing speed of enemy movement and any projectile fired by them."
The Small Rock,90,"+1 damage , +0.2 tears , -0.2 speed ."
Spelunker Hat,91,"Reveals type of adjacent rooms, including location for Secret Rooms and Super Secret Rooms . Reveals rooms up to 2 rooms away and blocks projectiles falling from above."
