Name,IdMonstre,Type,Description
Adult Leech,854,0,"Wanders around the room, quickly charging at Isaac when he lines up horizontally with him and releasing a ring of blood shots upon colliding with a wall. After taking a certain amount of damage, burrows into the ground and reappears by falling above Isaac, releasing another ring of blood shots and only performing this behavior once."
Angelic Baby,38,1.0,Slowly floats towards Isaac and fires three spread shots. Occasionally teleports and reappears elsewhere.
Angelic Baby (small),38,1.1,Slowly floats towards Isaac and fires a blood shot at him. Occasionally teleports and reappears elsewhere. Can only be spawned by Holy Mulligans .
Army Fly,868,0,"Chases Isaac, moving along the cardinal directions. Forms a line with other Army Flies in the room. Deals contact damage."
Attack Fly,18,0,Red fly that follows Isaac and deals contact damage.
Baby,38,0,Slowly floats towards Isaac and fires a blood shot at him. Occasionally teleports and reappears elsewhere.
Baby Begotten,883,0,"Floats toward Isaac, avoiding his shots. After getting close, fires a short Brimstone laser in the closest cardinal direction and propels itself away from him."
Baby Long Legs,206,0,Runs away from Isaac and frequently spawns Spiders.
Ball and Chain,893,0,"Spike balls that rotate at the end of a chain attached to an obstacle. If the obstacle is destroyed, the ball will fly free around the room for a while."
Begotten,251,0,"Starts attached to the wall or an obstacle. After a while, it detaches, firing 6 blood shots in all directions, turning the room dark, becoming invisible and chasing Isaac. Briefly becomes visible upon getting hit."
Big Bony,830,0,"Walks slowly toward Isaac, and will occasionally fire a bone that bounces around the room for a few moments. The bone can be broken if shot enough."
Big Corn,217,3,"Quickly dashes in random directions, dealing contact damage. Shoots one piece of corn upon death."
Big Spider,94,0,"Erratically moves around the room. If Isaac gets close to it, it chases him, trying to deal contact damage. Spawns two Spiders upon death."
Bishop,805,0,"Shields all enemies in the room, preventing them from taking damage. Fires shots in the cardinal directions when it takes damage."
Black Bony,277,0,Wanders around the room and throws three bones in a row at Isaac when he is in sight. Explodes upon death.
Black Globin,278,0,"Chases Isaac, dealing a full heart of contact damage and launching Spiders towards Isaac whenever it takes damage. Spawns a Spider, a Black Globin's Head , and a Black Globin's Body upon death."
Black Globin's Body,280,0,"Walks aimlessly around the room, occasionally spawning spiders."
Black Globin's Head,279,0,"Slides towards Isaac, leaving a trail of damaging Red Creep ."
Black Goat,891,1,"Wanders around the room. Occasionally moves toward Isaac, either firing blood shots at him or charging if he lines upon either side of it. Can also fire thin Brimstone lasers in the cardinal directions, along with all other Black Goats in the room."
Black Knight,41,4,"Moves erratically around the room, charges toward Isaac when in line of sight. Unleashes waves of fire in all cardinal directions upon charging into an obstacle. Shots that hit it from the front are deflected back at Isaac."
Black Maw,225,0,"When Isaac lines up with it horizontally, it charges in his direction and then doubles back, charging back to its original position. When Isaac is not horizontal to it, it spawns Leeches. Explodes when it dies."
Blaster,821,0,Slowly wanders around and occasionally shoots Fly Bombs at Isaac.
Blind Creep,242,0,Randomly crawls along walls and shoots three spread blood shots.
Blister,303,0,"Slowly hops towards Isaac, occasionally spawning a Dark Ball. Spawns a Sack upon death."
Bloat Eye,68,11,"Invulnerable enemy that floats diagonally over obstacles and bounces off of walls, blocking tears and dealing contact damage. Spawned by The Bloat as apart of his fight."
Bloaty,879,0,"Lumbers around, occasionally spitting green shots and a line of damaging green creep in a random direction."
Blood Cultist,885,1,Wanders around the room and fires a line of blood shots and creep if Isaac is on either side of it. Can summons bone traps that temporarily ensnare Isaac if he walks into them.
Blood Puppy,802,0,"Quickly moves around the room, attacking and charging at other monsters and Isaac when they get in its line of sight."
Bloodfly,61,6,"Spawned only after a Pustule bursts. Flies in erratic, angled movements toward Isaac. Fires four blood shots in the cardinal directions upon death."
Bloodshot Eye,60,1,Slowly turns towards Isaac and fires a Brimstone beam at Isaac if he stands still or is too slow.
Blubber,210,0,Walks around aimlessly and randomly spews a cluster of blood shots in all directions. Has a chance to turn into a Half Sack when killed.
Blue Boil,298,0,"Stationary enemy that decreases in size when hit, but regenerates to its full size until fully destroyed. Fires 1-3 blood shots towards Isaac when fully swollen."
Blue Conjoined Fatty,257,1,Slowly walks towards Isaac and occasionally farts out a homing Ipecac shot at Isaac.
Blue Gaper,297,0,"Walks towards Isaac, dealing contact damage."
Blurb,813,0,"Walks slowly towards Isaac, dealing contact damage. After taking some damage or getting close to Isaac, it fires a chaotic burst of tears at him and chases him more quickly. Can turn into a Pacer or Gusher upon death."
Boil,30,0,"Stationary enemy that decreases in size when hit, but regenerates to its full size until fully destroyed. Fires multiple short-ranged blood projectiles in random directions when fully swollen."
Bomb Grimace,809,0,Stationary and invulnerable monster that keeps a single Throwable Bomb spawned.
Bombgagger,844,0,Spits up a Giga Bomb and runs away from it.
Bone Fly,25,4,"Flies across the room in straight diagonal lines, dealing contact damage. Fires bones at Isaac if he lines up with it in the cardinal directions. Fires a radial burst of 3 bones upon death."
Bone Knight,283,0,"Moves erratically around the room, charges toward Isaac when in line of sight, and leaves behind a short-lasting trail of damaging Red Creep. Can only be damaged from behind."
Bony,227,0,Wanders around the room and throws a bone at Isaac when he is in sight.
Boom Fly,25,0,"Flies across the room in straight diagonal lines, dealing contact damage. Explodes upon death."
Bouncer,822,0,"Wanders around the room, avoiding Isaac. If Isaac stays close to one for long enough, it inflates and starts chasing him, gaining a chance to deflect shots and causing it to explode into lingering blood shots on death."
Brain,32,0,"Slowly crawls around the room, leaving a trail of Red Creep ."
Brainless Knight,41,3,Alternates between running around the room along the cardinal directions and aimlessly walking in circles. Charges at Isaac when in line of sight. Dies when its corresponding Pon dies.
