Name,id,Description
???'s Soul,57,Imaginary Friend
A Missing Page,48,It glows with power
AAA Battery,3,Trickle charge
Ace of Spades,45,Luck of the draw
Bible Tract,18,Faith up
Black Lipstick,17,Evil Up
Bloody Penny,49,Wealth of health
Broken Ankh,28,Eternal life?
Broken Magnet,6,It kinda works!
Broken Remote,4,It's broken
Burnt Penny,50,Wealth of chaos
Butt Penny,24,Wealth of gas
Cain's Eye,59,May you see your destination
Callus,14,Your feet feel stronger
Cancer,39,"Yay, cancer!"
Cartridge,8,I remember these
Child's Heart,34,It calls out to its brothers
Counterfeit Penny,52,Wealth of wealth
Cursed Skull,43,Cursed?
Curved Horn,35,DMG up
Daemon's Tail,22,Evil up
Eve's Bird Foot,60,Revenge from beyond
Fish Head,29,It stinks
Flat Penny,51,Wealth of answers
Flat Worm,12,Blub blub!
Goat Hoof,37,Speed up
Hook Worm,26,Zip zoop!
Isaac's Fork,46,Consume thy enemy
Isaac's Head,54,Dead friend
Judas' Tongue,56,Payment Received
Liberty Cap,32,"Touch Fuzzy, Get Dizzy"
Lucky Rock,15,There's something inside it
Lucky Toe,42,Luck up!
Maggy's Faith,55,Faith's reward
Match Stick,41,Tastes like burning
Missing Poster,23,???
Mom's Pearl,38,It emanates purity
Mom's Toenail,16,???
Monkey Paw,20,Wish granted
Mysterious Candy,25,Uh-oh!
Mysterious Paper,21,???
Paper Clip,19,Master of lockpicking
Petrified Poop,2,It feels lucky?
Pinky Eye,30,Poison shots
Pulse Worm,9,Wub wub!
Purple Heart,5,Challenge up
Push Pin,31,Piercing shots
Red Patch,40,Your rage grows
Ring Worm,11,Woop woop!
Rosary Bead,7,Faith up
Rusted Key,36,It feels lucky?
Safety Cap,44,Don't swallow it
Samson's Lock,58,Your rage grows
Store Credit,13,YES!
Swallowed Penny,1,Gulp!
The Left Hand,61,The left-hand path reaps dark rewards
Tick,53,"Well, that's not coming off"
Umbilical Cord,33,Fetal Protection
Whip Worm,27,Wooosh!
Wiggle Worm,10,Wiggle waggle!
Black Feather,80,With darkness comes power
Blasting Cap,73,Pop! Pop!
Blind Rage,81,Blind to damage
Blister,77,Bounce back!
Bob's Bladder,71,Creepy bombs
Brown Cap,90,Fartoom!
Child Leash,89,Keep your friends close...
Cracked Dice,67,You feel cursed... kinda.
Endless Nameless,79,I'm stuck in a loop...
Error,75,Effect not found?
Faded Polaroid,69,You feel faded
Golden Horse Shoe,82,Feel lucky?
Karma,85,Karma up
Lazy Worm,66,Pft
Lil Larva,86,The poop is moving...
Louse,70,"Itchy, tasty..."
Mom's Locket,87,You feel her love
NO!,88,Never again!
Poker Chip,76,It's double down time!
Rainbow Worm,64,Bleep Bloop Blop
Rib of Greed,84,Feels greedy
Safety Scissors,63,Fuse Cutter
Second Hand,78,Extended stat effect time!
Shiny Rock,62,It shines for its brothers
Store Key,83,Stores are open
Stud Finder,74,The ground below feels hollow...
Super Magnet,68,It Pulls
Tape Worm,65,Floooooooooop!
Watch Battery,72,Lil charge
Baby-Bender,127,Feed them magic!
Bag Lunch,105,I wonder what it is
Bat Wing,118,They are growing...
Black Tooth,95,It looks dead
