,StageVariant,Curses,ClearDurationFrames,Damage,FireDelay,ShotSpeed,TearRange,MoveSpeed,Luck,Hearts,MaxHearts,SoulHearts,BlackHearts,BoneHearts,Coins,Bombs,Keys,DamageTaken,Inventory_Count,Passive_Avg_Quality,Active_Avg_Quality,Duration
StageVariant,1.0,0.20497289793748066,-0.10997374435849225,-0.11234958661302935,-0.5067563036273771,0.32612002221738823,0.35031637116062453,0.6715140197844897,0.4069424895252667,0.012800498758109931,-0.1995535759273173,0.49379834503120346,0.0,0.0,0.2844291015401842,0.616576703137822,0.34861736622753986,-0.019569509096410906,0.563058407510156,-0.09949301365124243,0.8846517369293828,0.6948589160045835
Curses,0.20497289793748066,1.0,-0.001642730408203145,-0.7698203898356742,0.1001525371164325,-0.07721222172372198,-0.047060727561860846,-0.04532984139116214,-0.06617825960083584,0.03663716527236559,-0.024065547555594213,-0.03333333333333335,0.0,0.0,-0.10818386597388625,-0.13771973367597995,-0.1704876023184191,-0.05601120336112042,0.007689805499979845,0.3394859460550588,0.2721655269759087,-0.03425425585126285
ClearDurationFrames,-0.10997374435849225,-0.001642730408203145,1.0,0.07171743813942778,-0.04466121981946991,-0.22416011625216628,-0.13634536668048702,-0.11533159166762928,-0.04660932324756075,-0.16241569202791425,0.03009933962666192,-0.01574588229444473,0.0,0.0,-0.11152130344879474,-0.2198649977644865,0.06315873010174898,-0.17159369071129799,-0.34737374722469255,-0.06044429056677976,-0.6410712290504499,-0.08030378194090547
Damage,-0.11234958661302935,-0.7698203898356742,0.07171743813942778,1.0,-0.10478333202595409,-0.004644698219943945,-0.002830936251490247,0.08428554099496585,-0.003980950653988437,-0.16741742161623374,0.013511512793985096,0.18994864073254508,0.0,0.0,0.15746035089406232,0.1676898309916037,0.26483840661782243,-0.0033693517780018847,-0.030745240302319895,-0.17437695812980553,-0.19304683562633623,0.19114167182418895
FireDelay,-0.5067563036273771,0.1001525371164325,-0.04466121981946991,-0.10478333202595409,1.0,-0.5740319368188312,-0.6092864811040897,-0.5625696255872269,-0.49529452517371536,0.40771464164026594,0.2755423714348127,-0.49635349986347477,0.0,0.0,-0.6115840624336354,-0.6781423890452908,-0.5485919556426739,-0.07383711897815863,-0.6920758692744181,-0.49542622522903507,-0.35310333858005094,-0.7655624195339232
ShotSpeed,0.32612002221738823,-0.07721222172372198,-0.22416011625216628,-0.004644698219943945,-0.5740319368188312,1.0,0.538366900418513,0.537965693385619,0.6093874392799671,-0.2724065190251937,0.37094267342204407,-0.07721222172372222,0.0,0.0,0.5436293391585469,0.6127302024565899,0.27328204244042215,0.05646200674660323,0.7034492517226638,0.12041060018985486,0.39530298193484864,0.36020922570717806
TearRange,0.35031637116062453,-0.047060727561860846,-0.13634536668048702,-0.002830936251490247,-0.6092864811040897,0.538366900418513,1.0,0.3160650692521796,0.7388638508165546,-0.06193145307189895,0.16779849038328035,-0.04706072756186074,0.0,0.0,0.8960458990417522,0.6855633532928421,0.5199108474866859,0.2731366753544123,0.805488652295942,0.06106348433083468,0.18463723646899907,0.4369869949863825
MoveSpeed,0.6715140197844897,-0.04532984139116214,-0.11533159166762928,0.08428554099496585,-0.5625696255872269,0.537965693385619,0.3160650692521796,1.0,0.5299735019873343,-0.25049749769840257,0.07999841327034768,0.4230785196508504,0.0,0.0,0.2646093726647646,0.5596627706151355,0.2725198895478877,-0.0761693689346327,0.6455627318579424,0.08381965353931721,0.3825460278380025,0.6856876248389276
Luck,0.4069424895252667,-0.06617825960083584,-0.04660932324756075,-0.003980950653988437,-0.49529452517371536,0.6093874392799671,0.7388638508165546,0.5299735019873343,1.0,0.0727375150330001,0.363647332231906,-0.06617825960083584,0.0,0.0,0.7793326943290372,0.6931476608023829,0.6279642495387981,0.1760693879379031,0.8399667789331314,-0.10783080939300364,0.25318484177091666,0.463274695869745
Hearts,0.012800498758109931,0.03663716527236559,-0.16241569202791425,-0.16741742161623374,0.40771464164026594,-0.2724065190251937,-0.06193145307189895,-0.25049749769840257,0.0727375150330001,1.0,0.049227883910006244,-0.24730086558846767,0.0,0.0,-0.09867588462706287,-0.13676395955977996,-0.14382656987238418,-0.0974743564456587,-0.10890037626778507,-0.45142854051112036,0.021637116120395778,-0.27758997915846173
MaxHearts,-0.1995535759273173,-0.024065547555594213,0.03009933962666192,0.013511512793985096,0.2755423714348127,0.37094267342204407,0.16779849038328035,0.07999841327034768,0.363647332231906,0.049227883910006244,1.0,-0.7700975217790232,0.0,0.0,0.23295936576909454,-0.00930330049157362,-0.19002801058343213,-0.04043820834399361,0.18043170766104288,-0.280199362472496,-0.2675600248362604,-0.43963186101894225
SoulHearts,0.49379834503120346,-0.03333333333333335,-0.01574588229444473,0.18994864073254508,-0.49635349986347477,-0.07721222172372222,-0.04706072756186074,0.4230785196508504,-0.06617825960083584,-0.24730086558846767,-0.7700975217790232,1.0,0.0,0.0,-0.038315119199084695,0.31168150252984916,0.38584036314168524,-0.05601120336112042,0.08074295774978861,0.24271175106680268,0.2721655269759087,0.8114510122751235
BlackHearts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BoneHearts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coins,0.2844291015401842,-0.10818386597388625,-0.11152130344879474,0.15746035089406232,-0.6115840624336354,0.5436293391585469,0.8960458990417522,0.2646093726647646,0.7793326943290372,-0.09867588462706287,0.23295936576909454,-0.038315119199084695,0.0,0.0,1.0,0.7001084707378294,0.6221819118871844,0.19977442143486207,0.8043768202285421,0.12395948417179914,0.09467916046467047,0.45624780070983534
Bombs,0.616576703137822,-0.13771973367597995,-0.2198649977644865,0.1676898309916037,-0.6781423890452908,0.6127302024565899,0.6855633532928421,0.5596627706151355,0.6931476608023829,-0.13676395955977996,-0.00930330049157362,0.31168150252984916,0.0,0.0,0.7001084707378294,1.0,0.5960933057143741,0.14615712018501445,0.8518414587464749,-0.09111874377384767,0.5472896382207436,0.7169810543389138
Keys,0.34861736622753986,-0.1704876023184191,0.06315873010174898,0.26483840661782243,-0.5485919556426739,0.27328204244042215,0.5199108474866859,0.2725198895478877,0.6279642495387981,-0.14382656987238418,-0.19002801058343213,0.38584036314168524,0.0,0.0,0.6221819118871844,0.5960933057143741,1.0,0.18093250921276025,0.5987910246504659,0.0025365051190742328,0.3461938579263324,0.6801963574061468
