StageVariant,Curses,ClearDurationFrames,Damage,FireDelay,ShotSpeed,TearRange,MoveSpeed,Luck,Hearts,MaxHearts,SoulHearts,BlackHearts,BoneHearts,Coins,Bombs,Keys,DamageTaken,Inventory_Count,Passive_Avg_Quality,Active_Avg_Quality,Duration
1,32,1179.3333333333333,2.8,10.0,1.0,260,1.0,0,3,6,0,0,0,0,0,0,0.0,3.0,3.0,4.0,13522
2,0,1300.0,3.5,10.0,1.0,260,1.0,0,6,6,0,0,0,1,3,0,0.0,2.0,0.0,4.0,8854
0,0,1892.3333333333333,3.5,10.0,1.0,260,1.0,0,1,8,0,0,0,2,0,2,0.0,2.0,1.0,1.0,17990
0,0,1368.0,3.5,7.70784,1.0,360,1.0,0,1,6,0,0,0,10,0,0,0.0,2.0,3.0,1.0,6484
0,0,,3.5,10.0,1.0,260,1.0,0,6,6,0,0,0,0,1,0,0.0,,,,2468
0,0,1717.0,3.5,10.0,1.0,260,1.0,0,1,6,0,0,0,2,0,2,0.0,,,,13756
0,0,1282.0,3.5,10.0,1.0,260,1.0,0,1,6,0,0,0,0,3,1,0.0,,,,3660
0,0,,3.5,10.0,1.0,260,1.0,0,6,6,0,0,0,0,1,0,0.0,,,,1092
0,0,738.0,3.5,10.0,1.16,260,1.0,0,1,8,0,0,0,1,4,0,0.0,1.0,1.0,,8012
0,0,3027.0,3.5,8.29577,1.0,260,1.0,0,1,6,0,0,0,1,1,1,0.0,1.0,2.0,,8760
0,0,488.0,3.5,10.0,1.0,260,1.0,0,4,6,0,0,0,3,0,0,0.0,,,,19772
1,0,1018.5,3.5,10.0,1.0,260,1.0,0,4,6,0,0,0,1,1,2,0.0,1.0,,4.0,7404
2,0,1141.2307692307693,3.675,6.27428,1.0,260,1.1,0,0,0,1,0,0,2,6,4,0.0,4.0,2.6666666666666665,4.0,178378
0,0,1163.0,3.5,8.29577,1.0,208,1.0,0,1,6,0,0,0,0,2,1,0.0,2.0,2.5,,5012
0,0,1958.3333333333333,3.5,10.0,1.0,260,1.0,1,5,6,0,0,0,1,0,3,0.0,1.0,1.0,,17574
0,0,1192.0,3.5,10.0,1.0,260,1.0,0,1,6,0,0,0,2,1,1,0.0,1.0,1.0,,8868
0,0,327.3333333333333,3.5,10.0,1.0,260,1.0,0,5,6,0,0,0,0,1,2,0.0,,,,3878
0,0,1023.3333333333334,3.5,10.0,1.0,260,1.0,0,1,6,0,0,0,0,0,1,0.0,,,,5176
0,0,635.0,3.5,10.0,1.0,260,1.0,0,2,6,0,0,0,6,2,1,0.0,,,,6914
1,0,793.8285714285714,3.5,6.4,1.2,460,1.0,2,3,6,0,0,0,26,11,6,1.0,12.0,1.7272727272727273,4.0,93920
2,0,861.6842105263158,3.5,7.04878,1.32,360,1.2,2,1,10,0,0,0,12,8,2,0.0,12.0,1.7272727272727273,4.0,88544
0,0,1080.0,3.5,10.0,1.0,260,1.0,0,1,6,0,0,0,0,1,0,1.0,,,,7044
0,0,1454.0,3.5,10.0,1.0,260,1.0,1,5,8,0,0,0,9,1,2,0.0,2.0,2.0,1.0,11616
0,0,1466.2857142857142,3.5,8.29286,1.2,260,1.0,0,1,6,0,0,0,4,2,1,0.0,2.0,2.5,,15746
0,0,1155.3333333333333,3.5,10.0,1.0,260,1.0,0,6,6,0,0,0,1,1,1,0.0,,,,9912
0,0,876.0,3.5,10.0,1.0,260,1.0,0,2,6,0,0,0,0,1,1,0.0,1.0,1.0,,3546
0,0,1066.0,3.5,10.0,1.0,260,1.0,0,4,6,0,0,0,1,2,0,0.0,1.0,,1.0,6658
0,0,982.0,3.5,10.0,1.0,260,1.0,0,4,6,0,0,0,1,2,0,0.0,,,,7568
0,0,880.0,3.5,10.0,1.0,260,1.0,0,2,6,0,0,0,0,0,1,2.0,,,,4108
0,0,758.4444444444445,3.5,8.29286,1.2,260,1.0,0,1,6,0,0,0,3,0,1,0.0,3.0,3.0,,15022
0,0,1505.4,4.08167,10.0,1.0,260,1.0,0,1,8,0,0,0,7,2,2,0.0,2.0,2.0,,24920
